# Required typed scanner evidence: fixture-id|category|required
pod-pending-scheduling|FailedScheduling|required
pod-invalid-image|ImagePullBackOff|required
pod-crash-loop|CrashLoopBackOff|required
pod-oom-exit-137|OOMKilled|required
pod-failed|PodFailed|required
pod-evicted|PodEvicted|required
pod-stuck-terminating|PodStuckTerminating|required
pod-current-log-error|PodLogError|required
pod-previous-log-error|PodLogError|required
pod-container-config|ContainerConfigError|required
pod-high-restarts|HighRestartCount|required
deployment-degraded|DeploymentMismatch|required
statefulset-degraded|StatefulSetMismatch|required
daemonset-degraded|DaemonSetMismatch|required
replicaset-stuck|ReplicaSetStuck|required
job-failed|JobFailed|required
cronjob-suspended|CronJobSuspended|required
service-no-endpoints|ServiceNoEndpoints|required
endpointslice-mismatch|ServiceNoEndpoints|required
service-port-mismatch|ServicePortMismatch|required
ingress-invalid|IngressBackendNotFound|required
ingress-invalid|IngressClassMissing|required
ingress-invalid|IngressTLSSecretMissing|required
ingress-invalid|IngressPortInvalid|required
networkpolicy-orphaned|NetworkPolicyOrphaned|required
networkpolicy-wide|NetworkPolicyWideSelector|required
hpa-invalid|HPATargetMissing|required
hpa-invalid|HPAMetricsUnavailable|required
pdb-invalid|PDBSelectorInvalid|required
pvc-pending|PVCPending|required
pv-failed|PVFailed|required
pv-released|PVReleased|required
storageclass-invalid|StorageClassDeprecated|required
configmap-empty|ConfigMapEmpty|required
configmap-empty|ConfigMapUnused|required
webhook-missing-service|WebhookServiceMissing|required
node-synthetic-failure|NodeNotReady|required
node-synthetic-failure|NodePressure|required
node-synthetic-failure|NodeNetworkUnavailable|required
node-synthetic-failure|NodeUnschedulable|required
node-synthetic-failure|NodeTaint|required
security-privilege|SecurityPrivilege|required
security-cluster-binding|SecurityClusterBinding|required

# Optional dynamic scanner evidence: fixture-id|category|optional:<family>
gatewayclass-unaccepted|GatewayClassNotAccepted|optional:gateway-api
gateway-invalid|GatewaySpecInvalid|optional:gateway-api
gateway-invalid|GatewayNotAccepted|optional:gateway-api
gateway-invalid|GatewayNotProgrammed|optional:gateway-api
httproute-missing-parent|HTTPRouteNoParent|optional:gateway-api
httproute-missing-backend|HTTPRouteBackendMissing|optional:gateway-api
referencegrant-invalid|ReferenceGrantInvalid|optional:gateway-api
olm-cluster-catalog-failed|OLMResourceUnhealthy|optional:olm
olm-cluster-extension-failed|OLMResourceUnhealthy|optional:olm
olm-csv-failed|OLMResourceUnhealthy|optional:olm
olm-subscription-failed|OLMResourceUnhealthy|optional:olm
olm-install-plan-failed|OLMResourceUnhealthy|optional:olm
olm-catalog-source-failed|OLMResourceUnhealthy|optional:olm
olm-operator-group-failed|OLMResourceUnhealthy|optional:olm
keda-scaled-object-paused|IntegrationResourceUnhealthy|optional:integration
keda-scaled-job-paused|IntegrationResourceUnhealthy|optional:integration
keda-trigger-auth-paused|IntegrationResourceUnhealthy|optional:integration
kyverno-policy-failed|IntegrationResourceUnhealthy|optional:integration
kyverno-policy-report-failed|IntegrationResourceUnhealthy|optional:integration
prometheus-paused|IntegrationResourceUnhealthy|optional:integration
prometheus-service-monitor-paused|IntegrationResourceUnhealthy|optional:integration
prometheus-pod-monitor-paused|IntegrationResourceUnhealthy|optional:integration
prometheus-rule-paused|IntegrationResourceUnhealthy|optional:integration
prometheus-alertmanager-paused|IntegrationResourceUnhealthy|optional:integration
